ID,area,quartos,suites,vagas,preco
353534.00,110.00,3.00,1.00,2.00,880000.00
366113.00,101.89,3.00,1.00,4.00,900000.00
186728.00,191.00,3.00,1.00,3.00,920000.00
366115.00,101.89,3.00,1.00,4.00,950000.00
353022.00,280.61,3.00,1.00,4.00,1000000.00
353498.00,205.00,3.00,1.00,2.00,1050000.00
331331.00,272.00,3.00,2.00,3.00,1400000.00
378079.00,90.00,3.00,1.00,4.00,750000.00
378182.00,115.00,3.00,1.00,2.00,750000.00
353450.00,112.00,3.00,1.00,2.00,775000.00
134215.00,227.16,3.00,1.00,2.00,780000.00
134216.00,106.36,3.00,1.00,2.00,780000.00
366104.00,101.89,3.00,1.00,3.00,790000.00
366111.00,101.89,3.00,1.00,3.00,850000.00
387964.00,190.00,4.00,1.00,2.00,850000.00
353500.00,110.00,3.00,1.00,2.00,880000.00
353502.00,110.00,3.00,1.00,2.00,880000.00
381850.00,85.00,3.00,1.00,2.00,650000.00
134221.00,100.36,3.00,1.00,2.00,660000.00
375183.00,92.00,4.00,1.00,2.00,675000.00
370716.00,100.25,3.00,1.00,2.00,680000.00
374281.00,165.00,4.00,1.00,2.00,690000.00
353447.00,112.00,3.00,1.00,2.00,710000.00
353449.00,112.00,3.00,1.00,2.00,725000.00
374408.00,138.00,4.00,1.00,2.00,750000.00
376035.00,127.00,3.00,1.00,2.00,750000.00
371502.00,126.00,3.00,1.00,2.00,750000.00
145049.00,87.13,3.00,1.00,2.00,595000.00
145051.00,87.13,3.00,1.00,2.00,599000.00
370440.00,130.00,3.00,1.00,2.00,600000.00
361244.00,160.00,4.00,1.00,2.00,600000.00
381375.00,105.00,3.00,1.00,2.00,630000.00
168632.00,85.00,3.00,1.00,2.00,630000.00
358050.00,286.00,3.00,1.00,3.00,630000.00
357133.00,120.00,3.00,1.00,1.00,640000.00
134219.00,100.96,3.00,1.00,2.00,640000.00
358466.00,98.00,3.00,1.00,2.00,650000.00
386503.00,120.00,3.00,1.00,2.00,550000.00
381501.00,104.00,3.00,1.00,2.00,550000.00
370494.00,88.00,3.00,1.00,2.00,560000.00
375250.00,150.00,3.00,1.00,2.00,560000.00
339454.00,105.00,3.00,1.00,2.00,570000.00
